global time	experiment	device	var1	var2	var3	var4	var5	var6	board	x	y	var7	var8	var9	var10	var11	var12	var13	var14	var15	var16
32:29.3	d4c86ecb10df6b71604834021429c805	Android OS 8.1.0 / API-27 (OPM1.171019.026/eng.scmbui.20201106.173408)	0.1102619	1.159386	-0.09157518	-0.0530846	-0.1400089	0.9887263	whiteboard (video)	0.1927709	0.6079197	0.173	0.669	0.392	0	0.1271425	0	0.9918845	0.5	0.5	0.5
32:29.4	d4c86ecb10df6b71604834021429c805	Android OS 8.1.0 / API-27 (OPM1.171019.026/eng.scmbui.20201106.173408)	0.1099979	1.159361	-0.09295397	-0.08309151	-0.1113254	0.9903043	whiteboard (video)	0.1377605	0.6360712	0.173	0.669	0.392	0	0.1271425	0	0.9918845	0.5	0.5	0.5
32:29.4	d4c86ecb10df6b71604834021429c805	Android OS 8.1.0 / API-27 (OPM1.171019.026/eng.scmbui.20201106.173408)	0.1107627	1.158732	-0.08599988	0.04051135	-0.1660441	0.9852859	whiteboard (video)	0.3566773	0.5855145	0.173	0.669	0.392	0	0.1271425	0	0.9918845	0.5	0.5	0.5
32:29.4	d4c86ecb10df6b71604834021429c805	Android OS 8.1.0 / API-27 (OPM1.171019.026/eng.scmbui.20201106.173408)	0.1111107	1.158211	-0.08436156	0.02746413	-0.1551273	0.9875126	whiteboard (video)	0.3355784	0.5956099	0.173	0.669	0.392	0	0.1271425	0	0.9918845	0.5	0.5	0.5
32:29.5	d4c86ecb10df6b71604834021429c805	Android OS 8.1.0 / API-27 (OPM1.171019.026/eng.scmbui.20201106.173408)	0.1105492	1.158093	-0.08500576	-0.01172959	-0.1736324	0.9847407	whiteboard (video)	0.2668512	0.5746038	0.173	0.669	0.392	0	0.1271425	0	0.9918845	0.5	0.5	0.5
32:29.6	d4c86ecb10df6b71604834021429c805	Android OS 8.1.0 / API-27 (OPM1.171019.026/eng.scmbui.20201106.173408)	0.08606926	1.158095	-0.08544329	0.03063281	-0.1923727	0.9808437	whiteboard (video)	0.2558134	0.5546095	0.173	0.669	0.392	0	0.1271425	0	0.9918845	0.5	0.5	0.5
32:29.7	d4c86ecb10df6b71604834021429c805	Android OS 8.1.0 / API-27 (OPM1.171019.026/eng.scmbui.20201106.173408)	0.1109763	1.159962	-0.08629786	0.009397463	0.07083992	0.9974434	whiteboard (video)	0.3044434	0.8216205	0.173	0.669	0.392	0	0.1271425	0	0.9918845	0.5	0.5	0.5
32:29.9	d4c86ecb10df6b71604834021429c805	Android OS 8.1.0 / API-27 (OPM1.171019.026/eng.scmbui.20201106.173408)	0.1106189	1.158753	-0.08613315	-0.02099164	0.1674397	0.9856589	whiteboard (video)	0.2510063	0.9175324	0.173	0.669	0.392	0	0.1271425	0	0.9918845	0.5	0.5	0.5
32:30.0	d4c86ecb10df6b71604834021429c805	Android OS 8.1.0 / API-27 (OPM1.171019.026/eng.scmbui.20201106.173408)	0.1112057	1.158117	-0.08868977	-0.1001382	0.2381347	0.966056	whiteboard (video)	0.1079423	0.9986477	0.173	0.669	0.392	0	0.1271425	0	0.9918845	0.5	0.5	0.5
32:30.1	d4c86ecb10df6b71604834021429c805	Android OS 8.1.0 / API-27 (OPM1.171019.026/eng.scmbui.20201106.173408)	0.1119474	1.157544	-0.09062561	-0.08910152	0.2288534	0.9693745	whiteboard (video)	0.130978	0.987009	0.173	0.669	0.392	0	0.1271425	0	0.9918845	0.5	0.5	0.5
