global	experiment	device	action	video	vid time (sec)
33:50.9	d4c86ecb10df6b71604834021429c805	Android OS 8.1.0 / API-27 (OPM1.171019.026/eng.scmbui.20201106.173408)	set_url	http://vel.engr.uga.edu/apps/VRDEO/raydiagrams.mp4	0
33:50.9	d4c86ecb10df6b71604834021429c805	Android OS 8.1.0 / API-27 (OPM1.171019.026/eng.scmbui.20201106.173408)	set_time	http://vel.engr.uga.edu/apps/VRDEO/raydiagrams.mp4	NaN
33:50.9	d4c86ecb10df6b71604834021429c805	Android OS 8.1.0 / API-27 (OPM1.171019.026/eng.scmbui.20201106.173408)	play	http://vel.engr.uga.edu/apps/VRDEO/raydiagrams.mp4	NaN
33:52.2	d4c86ecb10df6b71604834021429c805	Android OS 8.1.0 / API-27 (OPM1.171019.026/eng.scmbui.20201106.173408)	set_time	http://vel.engr.uga.edu/apps/VRDEO/raydiagrams.mp4	1.099989
33:52.2	d4c86ecb10df6b71604834021429c805	Android OS 8.1.0 / API-27 (OPM1.171019.026/eng.scmbui.20201106.173408)	pause	http://vel.engr.uga.edu/apps/VRDEO/raydiagrams.mp4	0.599994
40:48.9	d4c86ecb10df6b71604834021429c805	Android OS 8.1.0 / API-27 (OPM1.171019.026/eng.scmbui.20201106.173408)	play	http://vel.engr.uga.edu/apps/VRDEO/raydiagrams.mp4	1.066656
41:12.0	d4c86ecb10df6b71604834021429c805	Android OS 8.1.0 / API-27 (OPM1.171019.026/eng.scmbui.20201106.173408)	set_time	http://vel.engr.uga.edu/apps/VRDEO/raydiagrams.mp4	24.13309
41:12.0	d4c86ecb10df6b71604834021429c805	Android OS 8.1.0 / API-27 (OPM1.171019.026/eng.scmbui.20201106.173408)	pause	http://vel.engr.uga.edu/apps/VRDEO/raydiagrams.mp4	24.13309
41:36.8	d4c86ecb10df6b71604834021429c805	Android OS 8.1.0 / API-27 (OPM1.171019.026/eng.scmbui.20201106.173408)	play	http://vel.engr.uga.edu/apps/VRDEO/raydiagrams.mp4	24.09976
41:48.5	d4c86ecb10df6b71604834021429c805	Android OS 8.1.0 / API-27 (OPM1.171019.026/eng.scmbui.20201106.173408)	set_time	http://vel.engr.uga.edu/apps/VRDEO/raydiagrams.mp4	35.83297
41:48.5	d4c86ecb10df6b71604834021429c805	Android OS 8.1.0 / API-27 (OPM1.171019.026/eng.scmbui.20201106.173408)	pause	http://vel.engr.uga.edu/apps/VRDEO/raydiagrams.mp4	35.83297
41:51.8	d4c86ecb10df6b71604834021429c805	Android OS 8.1.0 / API-27 (OPM1.171019.026/eng.scmbui.20201106.173408)	set_time	http://vel.engr.uga.edu/apps/VRDEO/raydiagrams.mp4	24.13309
41:51.8	d4c86ecb10df6b71604834021429c805	Android OS 8.1.0 / API-27 (OPM1.171019.026/eng.scmbui.20201106.173408)	pause	http://vel.engr.uga.edu/apps/VRDEO/raydiagrams.mp4	35.79964
42:31.6	d4c86ecb10df6b71604834021429c805	Android OS 8.1.0 / API-27 (OPM1.171019.026/eng.scmbui.20201106.173408)	play	http://vel.engr.uga.edu/apps/VRDEO/raydiagrams.mp4	24.09976
45:05.3	d4c86ecb10df6b71604834021429c805	Android OS 8.1.0 / API-27 (OPM1.171019.026/eng.scmbui.20201106.173408)	set_time	http://vel.engr.uga.edu/apps/VRDEO/raydiagrams.mp4	177.7982
45:05.3	d4c86ecb10df6b71604834021429c805	Android OS 8.1.0 / API-27 (OPM1.171019.026/eng.scmbui.20201106.173408)	pause	http://vel.engr.uga.edu/apps/VRDEO/raydiagrams.mp4	177.7982
48:10.6	d4c86ecb10df6b71604834021429c805	Android OS 8.1.0 / API-27 (OPM1.171019.026/eng.scmbui.20201106.173408)	play	http://vel.engr.uga.edu/apps/VRDEO/raydiagrams.mp4	177.7649
48:37.9	d4c86ecb10df6b71604834021429c805	Android OS 8.1.0 / API-27 (OPM1.171019.026/eng.scmbui.20201106.173408)	set_time	http://vel.engr.uga.edu/apps/VRDEO/raydiagrams.mp4	205.0313
48:37.9	d4c86ecb10df6b71604834021429c805	Android OS 8.1.0 / API-27 (OPM1.171019.026/eng.scmbui.20201106.173408)	pause	http://vel.engr.uga.edu/apps/VRDEO/raydiagrams.mp4	205.0313
49:14.9	d4c86ecb10df6b71604834021429c805	Android OS 8.1.0 / API-27 (OPM1.171019.026/eng.scmbui.20201106.173408)	play	http://vel.engr.uga.edu/apps/VRDEO/raydiagrams.mp4	205.0313
49:47.8	d4c86ecb10df6b71604834021429c805	Android OS 8.1.0 / API-27 (OPM1.171019.026/eng.scmbui.20201106.173408)	set_time	http://vel.engr.uga.edu/apps/VRDEO/raydiagrams.mp4	237.8976
49:47.8	d4c86ecb10df6b71604834021429c805	Android OS 8.1.0 / API-27 (OPM1.171019.026/eng.scmbui.20201106.173408)	pause	http://vel.engr.uga.edu/apps/VRDEO/raydiagrams.mp4	237.8976
50:06.0	d4c86ecb10df6b71604834021429c805	Android OS 8.1.0 / API-27 (OPM1.171019.026/eng.scmbui.20201106.173408)	play	http://vel.engr.uga.edu/apps/VRDEO/raydiagrams.mp4	237.8976
51:59.0	d4c86ecb10df6b71604834021429c805	Android OS 8.1.0 / API-27 (OPM1.171019.026/eng.scmbui.20201106.173408)	set_time	http://vel.engr.uga.edu/apps/VRDEO/raydiagrams.mp4	350.8298
51:59.0	d4c86ecb10df6b71604834021429c805	Android OS 8.1.0 / API-27 (OPM1.171019.026/eng.scmbui.20201106.173408)	pause	http://vel.engr.uga.edu/apps/VRDEO/raydiagrams.mp4	350.8298
53:26.3	d4c86ecb10df6b71604834021429c805	Android OS 8.1.0 / API-27 (OPM1.171019.026/eng.scmbui.20201106.173408)	play	http://vel.engr.uga.edu/apps/VRDEO/raydiagrams.mp4	350.8298
53:48.0	d4c86ecb10df6b71604834021429c805	Android OS 8.1.0 / API-27 (OPM1.171019.026/eng.scmbui.20201106.173408)	set_time	http://vel.engr.uga.edu/apps/VRDEO/raydiagrams.mp4	372.4963
53:48.0	d4c86ecb10df6b71604834021429c805	Android OS 8.1.0 / API-27 (OPM1.171019.026/eng.scmbui.20201106.173408)	pause	http://vel.engr.uga.edu/apps/VRDEO/raydiagrams.mp4	372.4963
53:58.4	d4c86ecb10df6b71604834021429c805	Android OS 8.1.0 / API-27 (OPM1.171019.026/eng.scmbui.20201106.173408)	play	http://vel.engr.uga.edu/apps/VRDEO/raydiagrams.mp4	372.4963
54:13.9	d4c86ecb10df6b71604834021429c805	Android OS 8.1.0 / API-27 (OPM1.171019.026/eng.scmbui.20201106.173408)	set_time	http://vel.engr.uga.edu/apps/VRDEO/raydiagrams.mp4	387.9628
54:13.9	d4c86ecb10df6b71604834021429c805	Android OS 8.1.0 / API-27 (OPM1.171019.026/eng.scmbui.20201106.173408)	pause	http://vel.engr.uga.edu/apps/VRDEO/raydiagrams.mp4	387.9628
