global	experiment	device	action	video	vid time (sec)
37:10.7	bec83924620239d38e6ff79ac79b8853	Android OS 8.1.0 / API-27 (OPM1.171019.026/eng.scmbui.20210409.201441)	set_url	http://vel.engr.uga.edu/apps/VRDEO/raydiagrams.mp4	0
37:10.7	bec83924620239d38e6ff79ac79b8853	Android OS 8.1.0 / API-27 (OPM1.171019.026/eng.scmbui.20210409.201441)	play	http://vel.engr.uga.edu/apps/VRDEO/raydiagrams.mp4	NaN
40:48.3	bec83924620239d38e6ff79ac79b8853	Android OS 8.1.0 / API-27 (OPM1.171019.026/eng.scmbui.20210409.201441)	set_time	http://vel.engr.uga.edu/apps/VRDEO/raydiagrams.mp4	216.5978
40:48.3	bec83924620239d38e6ff79ac79b8853	Android OS 8.1.0 / API-27 (OPM1.171019.026/eng.scmbui.20210409.201441)	pause	http://vel.engr.uga.edu/apps/VRDEO/raydiagrams.mp4	216.5978
40:51.4	bec83924620239d38e6ff79ac79b8853	Android OS 8.1.0 / API-27 (OPM1.171019.026/eng.scmbui.20210409.201441)	set_time	http://vel.engr.uga.edu/apps/VRDEO/raydiagrams.mp4	207.4239
40:51.4	bec83924620239d38e6ff79ac79b8853	Android OS 8.1.0 / API-27 (OPM1.171019.026/eng.scmbui.20210409.201441)	pause	http://vel.engr.uga.edu/apps/VRDEO/raydiagrams.mp4	216.5978
40:52.2	bec83924620239d38e6ff79ac79b8853	Android OS 8.1.0 / API-27 (OPM1.171019.026/eng.scmbui.20210409.201441)	set_time	http://vel.engr.uga.edu/apps/VRDEO/raydiagrams.mp4	205.7127
40:52.2	bec83924620239d38e6ff79ac79b8853	Android OS 8.1.0 / API-27 (OPM1.171019.026/eng.scmbui.20210409.201441)	pause	http://vel.engr.uga.edu/apps/VRDEO/raydiagrams.mp4	207.3979
40:52.4	bec83924620239d38e6ff79ac79b8853	Android OS 8.1.0 / API-27 (OPM1.171019.026/eng.scmbui.20210409.201441)	set_time	http://vel.engr.uga.edu/apps/VRDEO/raydiagrams.mp4	203.6112
40:52.4	bec83924620239d38e6ff79ac79b8853	Android OS 8.1.0 / API-27 (OPM1.171019.026/eng.scmbui.20210409.201441)	pause	http://vel.engr.uga.edu/apps/VRDEO/raydiagrams.mp4	207.3979
40:52.5	bec83924620239d38e6ff79ac79b8853	Android OS 8.1.0 / API-27 (OPM1.171019.026/eng.scmbui.20210409.201441)	set_time	http://vel.engr.uga.edu/apps/VRDEO/raydiagrams.mp4	200.6692
40:52.5	bec83924620239d38e6ff79ac79b8853	Android OS 8.1.0 / API-27 (OPM1.171019.026/eng.scmbui.20210409.201441)	pause	http://vel.engr.uga.edu/apps/VRDEO/raydiagrams.mp4	207.3979
40:52.6	bec83924620239d38e6ff79ac79b8853	Android OS 8.1.0 / API-27 (OPM1.171019.026/eng.scmbui.20210409.201441)	set_time	http://vel.engr.uga.edu/apps/VRDEO/raydiagrams.mp4	194.9953
40:52.6	bec83924620239d38e6ff79ac79b8853	Android OS 8.1.0 / API-27 (OPM1.171019.026/eng.scmbui.20210409.201441)	pause	http://vel.engr.uga.edu/apps/VRDEO/raydiagrams.mp4	207.3979
40:52.7	bec83924620239d38e6ff79ac79b8853	Android OS 8.1.0 / API-27 (OPM1.171019.026/eng.scmbui.20210409.201441)	set_time	http://vel.engr.uga.edu/apps/VRDEO/raydiagrams.mp4	194.6049
40:52.7	bec83924620239d38e6ff79ac79b8853	Android OS 8.1.0 / API-27 (OPM1.171019.026/eng.scmbui.20210409.201441)	pause	http://vel.engr.uga.edu/apps/VRDEO/raydiagrams.mp4	207.3979
40:55.6	bec83924620239d38e6ff79ac79b8853	Android OS 8.1.0 / API-27 (OPM1.171019.026/eng.scmbui.20210409.201441)	play	http://vel.engr.uga.edu/apps/VRDEO/raydiagrams.mp4	194.5981
41:33.0	bec83924620239d38e6ff79ac79b8853	Android OS 8.1.0 / API-27 (OPM1.171019.026/eng.scmbui.20210409.201441)	set_time	http://vel.engr.uga.edu/apps/VRDEO/raydiagrams.mp4	241.4375
41:33.0	bec83924620239d38e6ff79ac79b8853	Android OS 8.1.0 / API-27 (OPM1.171019.026/eng.scmbui.20210409.201441)	pause	http://vel.engr.uga.edu/apps/VRDEO/raydiagrams.mp4	231.9643
41:33.1	bec83924620239d38e6ff79ac79b8853	Android OS 8.1.0 / API-27 (OPM1.171019.026/eng.scmbui.20210409.201441)	set_time	http://vel.engr.uga.edu/apps/VRDEO/raydiagrams.mp4	240.687
