global time	experiment	device	var1	var2	var3	var4	var5	var6	board	x	y	var7	var8	var9	var10	var11	var12	var13	var14	var15	var16
02:45.5	bec83924620239d38e6ff79ac79b8853	Android OS 8.1.0 / API-27 (OPM1.171019.026/eng.scmbui.20210409.201441)	-0.08043107	1.255418	-0.1406768	0.2448772	-0.3125605	0.9177915	whiteboard (video)	0.1414637	0.5631912	0.173	0.669	0.392	0	0.1271425	0	0.9918845	0.5	0.5	0.5
02:45.5	bec83924620239d38e6ff79ac79b8853	Android OS 8.1.0 / API-27 (OPM1.171019.026/eng.scmbui.20210409.201441)	-0.07872432	1.255369	-0.1395297	0.2540058	-0.3161248	0.9140821	whiteboard (video)	0.1657402	0.5592704	0.173	0.669	0.392	0	0.1271425	0	0.9918845	0.5	0.5	0.5
02:45.6	bec83924620239d38e6ff79ac79b8853	Android OS 8.1.0 / API-27 (OPM1.171019.026/eng.scmbui.20210409.201441)	-0.07845954	1.255481	-0.1397264	0.2490517	-0.3181797	0.9147321	whiteboard (video)	0.1567543	0.5566664	0.173	0.669	0.392	0	0.1271425	0	0.9918845	0.5	0.5	0.5
02:45.6	bec83924620239d38e6ff79ac79b8853	Android OS 8.1.0 / API-27 (OPM1.171019.026/eng.scmbui.20210409.201441)	-0.07845954	1.255481	-0.1397264	0.2490517	-0.3181797	0.9147321	whiteboard (video)	0.1567543	0.5566664	0.173	0.669	0.392	0	0.1271425	0	0.9918845	0.5	0.5	0.5
02:45.6	bec83924620239d38e6ff79ac79b8853	Android OS 8.1.0 / API-27 (OPM1.171019.026/eng.scmbui.20210409.201441)	-0.07799996	1.2556	-0.14001	0.2443396	-0.3151676	0.9170429	whiteboard (video)	0.1480606	0.560879	0.173	0.669	0.392	0	0.1271425	0	0.9918845	0.5	0.5	0.5
02:45.6	bec83924620239d38e6ff79ac79b8853	Android OS 8.1.0 / API-27 (OPM1.171019.026/eng.scmbui.20210409.201441)	-0.06900048	1.254064	-0.1385241	0.2563223	-0.3124512	0.9146984	whiteboard (video)	0.2002253	0.5638418	0.173	0.669	0.392	0	0.1271425	0	0.9918845	0.5	0.5	0.5
02:45.7	bec83924620239d38e6ff79ac79b8853	Android OS 8.1.0 / API-27 (OPM1.171019.026/eng.scmbui.20210409.201441)	-0.07002021	1.253334	-0.1369358	0.4288483	-0.3489903	0.8332435	whiteboard (video)	0.5868487	0.5031269	0.173	0.669	0.392	0	0.1271425	0	0.9918845	0.5	0.5	0.5
02:45.8	bec83924620239d38e6ff79ac79b8853	Android OS 8.1.0 / API-27 (OPM1.171019.026/eng.scmbui.20210409.201441)	-0.06322259	1.252578	-0.1356686	0.4388285	-0.3377704	0.8326709	whiteboard (video)	0.6248458	0.5186887	0.173	0.669	0.392	0	0.1271425	0	0.9918845	0.5	0.5	0.5
02:45.9	bec83924620239d38e6ff79ac79b8853	Android OS 8.1.0 / API-27 (OPM1.171019.026/eng.scmbui.20210409.201441)	-0.06333231	1.252197	-0.1345725	0.4436122	-0.3421469	0.8283379	whiteboard (video)	0.6360421	0.5118916	0.173	0.669	0.392	0	0.1271425	0	0.9918845	0.5	0.5	0.5
02:46.0	bec83924620239d38e6ff79ac79b8853	Android OS 8.1.0 / API-27 (OPM1.171019.026/eng.scmbui.20210409.201441)	-0.04493698	1.250928	-0.1363826	0.4164813	-0.3299125	0.8471724	whiteboard (video)	0.625998	0.5316324	0.173	0.669	0.392	0	0.1271425	0	0.9918845	0.5	0.5	0.5
02:46.1	bec83924620239d38e6ff79ac79b8853	Android OS 8.1.0 / API-27 (OPM1.171019.026/eng.scmbui.20210409.201441)	-0.0371579	1.2509	-0.1370748	0.4013759	-0.3379788	0.8512741	whiteboard (video)	0.6189986	0.5227568	0.173	0.669	0.392	0	0.1271425	0	0.9918845	0.5	0.5	0.5
02:46.3	bec83924620239d38e6ff79ac79b8853	Android OS 8.1.0 / API-27 (OPM1.171019.026/eng.scmbui.20210409.201441)	-0.05604333	1.252919	-0.1357946	0.318775	-0.3191106	0.892497	whiteboard (video)	0.3715414	0.5551927	0.173	0.669	0.392	0	0.1271425	0	0.9918845	0.5	0.5	0.5
02:46.4	bec83924620239d38e6ff79ac79b8853	Android OS 8.1.0 / API-27 (OPM1.171019.026/eng.scmbui.20210409.201441)	-0.05568576	1.252901	-0.1361563	0.3170261	-0.3216568	0.892206	whiteboard (video)	0.3699636	0.5516305	0.173	0.669	0.392	0	0.1271425	0	0.9918845	0.5	0.5	0.5
02:46.4	bec83924620239d38e6ff79ac79b8853	Android OS 8.1.0 / API-27 (OPM1.171019.026/eng.scmbui.20210409.201441)	-0.05620909	1.253597	-0.136505	0.3191114	-0.31813	0.8927268	whiteboard (video)	0.3722997	0.5573585	0.173	0.669	0.392	0	0.1271425	0	0.9918845	0.5	0.5	0.5
